Id,医生职称,医生科室,医生所在城市,医生有无简介,医生在线活动量,医生个人网站总访问量,总文章数,总患者数,患者投票数,感谢信数,心意礼物数,医生欢迎词,Mark(不要使用该列)
47,副主任医师,手外科,四平,0,230,"14,848",0,4,3,0,0,各位朋友好！                        欢迎光临我的网页，感谢好大夫在线搭建这个交流平台，有事您说话，我经常在线的，谢谢！,1115
48,主任医师 教授,皮肤科,济南,1,310,"46,685",4,11,6,1,1,欢迎词                        修合无人见，存心有天知,1128
49,副主任医师,皮肤科,济南,1,15040,"812,714",14,1906,5,3,3,欢迎词                        解恒珍的个人网站开通了，欢迎前来咨询，谢谢！,1161
50,副主任医师,急诊科,保定,1,0,"21,037",3,0,0,0,1,,1180
51,主治医师,针灸康复科,杭州,1,980,"56,189",3,41,1,0,0,,1196
52,主任医师 教授,超声诊断科,成都,1,0,"7,444",0,0,0,0,1,,1207
53,主任医师 教授,普外科,重庆,1,210,"8,586",0,1,0,0,0,,1279
54,副主任医师 副教授,消化内科,重庆,1,275,"60,333",0,22,2,0,0,,1288
55,副主任医师,脑病科,潍坊,1,690,"60,375",7,44,1,0,1,,1294
56,主治医师,骨伤科,长沙,0,0,"1,597",0,0,1,0,0,,1329
57,主治医师,肿瘤科,上海,0,0,"1,101",0,0,1,0,0,,1347
58,主任医师,肾内科,徐州,1,0,"7,254",0,0,1,0,0,,1497
59,副主任医师 副教授,骨科,聊城,1,0,"7,186",0,0,3,0,0,,1657
60,副主任医师,胸外科,石家庄,1,0,"12,521",1,0,1,0,1,欢迎大家咨询                        健康从我开始,1681
61,副主任医师,肝胆胰外科,上海,1,200,"9,488",0,2,6,3,0,,1734
62,住院医师,消化外科,呼和浩特,1,25,"4,256",0,5,0,0,0,,1757
63,副主任医师,肛肠科,沈阳,1,0,"6,762",0,0,4,1,0,,1847
64,住院医师,妇产科,福州,1,200,"1,714",0,0,0,0,0,,1854
65,主任医师,血液内科,杭州,1,370,"26,877",0,15,3,0,1,,1866
66,副主任医师,耳鼻咽喉科,广州,1,200,"7,585",0,0,3,0,0,,1869
67,主治医师 讲师,针灸科,广州,1,220,"13,436",0,3,4,1,1,,1936
68,副主任医师 副教授,结直肠外科,哈尔滨,1,240,"20,035",0,7,1,0,1,欢迎进入赵医生的患者之家！                        在当前看病难、看病贵的环境下，希望用我的努力为您创造良好的就医环境，为您的健康保驾护航！,2010
69,住院医师,心血管外科,哈尔滨,0,0,"6,545",0,0,1,0,0,,2045
70,副主任医师 副教授,眼科,大同,1,505,"52,101",1,30,0,0,2,欢迎词                        眼病患者的良师益友,2047
71,主任医师 副教授,介入治疗科,东莞,1,0,"17,914",2,1,1,0,0,,2070
72,主任医师,整形美容科,郑州,1,185,"44,550",0,34,0,0,0,一直关注您的整形科医生    欢迎您的造访                        五年的医学院校殿堂，20余年的无影灯下的磨练，结下了深厚的爱美情缘；愿与追求自我形象完美，自认其貌不扬或外伤、先天性畸形所致外观及功能障碍的您结为朋友，更愿与您共同设计第二个您，完成您心中的梦想！,2079
73,副主任医师 副教授,心内科,上海,1,425,"15,090",1,31,3,1,3,真心对待患者                        把患者当作衣食父母，认真对待每位患者的需求，不计名利，不分贵贱。,2141
74,主任医师,普外科,上海,1,230,"10,681",0,5,7,4,0,,2145
75,主任医师 教授,口腔颌面外科,哈尔滨,1,215,"13,295",0,3,5,0,2,,2162
76,主治医师,肾内科,九江,1,735,"160,252",25,80,13,1,1,欢迎词                        国家重点专科、重点学科、卫生部国家临床重点专科、江西省中医肾病临床研究基地欢迎您前来就诊！,2231
77,住院医师 助教,儿科,南京,1,240,"8,750",0,8,5,2,0,,2245
78,主治医师,普通外科,太原,0,215,"7,161",0,2,2,1,0,大医治于不病                        大医治于不病，尊重生命，创造奇迹,2318
79,主治医师,骨科,长沙,0,10,"1,783",0,2,1,0,0,,2386
80,副主任医师,头颈科,广州,1,430,"81,153",0,50,5,0,0,,2444
81,主治医师 助教,眼科,宁波,1,65,"6,483",14,12,2,0,0,,2512
82,主任医师 副教授,口腔科,银川,1,0,724,0,0,1,0,0,,2532
83,主治医师 讲师,生殖中心,武汉,1,5,"1,033",0,1,4,1,0,,2545
84,副主任医师,推拿科,保定,1,0,"13,978",0,1,3,0,0,,2547
85,副主任医师,儿童保健中心,淄博,1,260,"13,454",0,4,0,0,0,,2552
86,主任医师 教授,中医科,石河子,1,210,"80,578",0,31,2,0,1,技术+时间=健康                        中医药学是我国人民在长期劳动与疾病斗争的实践中形成的独特而系统的科学理论和诊疗方法，为人类防病治病和医学科学的发展发挥了十分重要的作用.,2602
87,主任医师 教授,普通外科,长春,1,0,"10,185",0,2,6,3,1,,2663
88,主治医师,妇产科,遂宁,1,1245,"5,445",1,138,1,0,0,欢迎咨询                        我尽量在第一时间内回复并尽量解决你的问题，祝你健康！,2664
89,副主任医师,脑病科,长沙,0,0,"2,989",0,0,1,1,0,,2764
90,副主任医师,儿童保健科,郑州,1,200,"14,364",0,0,2,0,0,,2782
91,主治医师,急诊危重症中心,北京,0,0,149,0,0,0,0,0,,2790
92,主治医师,消化内科,包头,1,945,"122,690",4,92,2,0,4,消化病患者的知心朋友                        如果你有胃肠疾病，肝胆疾病，胰腺疾病或相关的疑问，梁大夫愿为您提供专业的帮助。,2814
93,主治医师 讲师,眼科,嘉峪关,1,0,506,0,0,1,0,0,,2829
94,副主任医师 副教授,泌尿外科,成都,1,520,"30,320",0,49,7,2,0,行医是一种使命                        心路清晰，心地善良，心灵平静；给每位膀胱癌、前列腺癌等泌尿系肿瘤患者全面规范正确的治疗。,2835
95,副主任医师,脊柱外科,郑州,1,0,879,0,0,3,2,0,郑州市骨科医院欢迎你!                        郑州市骨科医院竭诚为广大患者提供优质咨询、诊疗、宣教服务活动！祝您早日康复！,2854
96,副主任医师 副教授,肾病内科,恩施,1,0,"9,330",0,1,3,0,0,,2865
97,主治医师,普外科,娄底,0,0,"3,212",0,0,0,0,0,,2869
98,主治医师,放射科,北京,1,0,"9,327",0,0,0,0,0,,2931
99,副主任医师 副教授,普外科,南昌,1,300,"11,816",0,6,0,0,0,欢迎词                        我是一名普外科大夫，已工作16年，有丰富的理论知识和临床经验。普外科的内容包过：甲状腺疾病、胃肠疾病、肝胆疾病、乳腺疾病、肛肠疾病、下肢静脉曲张、疝等等。如果访客有这方面的质询或其它有关医学问题，欢迎发布信息。,2939
100,副主任医师 讲师,病理科,苏州,1,0,767,0,0,0,0,0,,2944
101,主治医师,妇产中心,北京,1,3365,"295,603",5,366,1,0,1,肝病患者欢迎来解放军第302医院妇产中心解决您的生殖内...                        这是我回国后第一次试图通过网络来联络患者，我已经多年没有应用网络来进行交流的习惯了，我甚至没有QQ号，但我并不是一个老调的医生，时间被大量的临床工作占据，由于在肝病医院我既往擅长的专业很难被患者所了解，我希望通过网络的平台，让我的专长得以发...挥，也希望能为更多的患者解决其关乎切身实践的问题                                        展开 >>,2967
102,副主任医师 副教授,整形外科,石家庄,0,4025,"159,524",0,307,4,2,7,,2981
103,副主任医师,司法鉴定所,广州,1,240,"14,828",0,4,0,0,0,用我热心换您静心、省心                        祝福各位仁人志士都身心健康、快乐！,3008
104,副主任医师,肾内科,泰州,0,245,"16,363",0,3,1,0,1,,3030
105,副主任医师 副教授,肛肠科,宜昌,1,200,"8,252",0,0,10,0,0,,3046
106,主治医师,超声科,淄博,1,200,"31,310",3,3,2,0,1,彩超诊断检查咨询                        有关超声检查及诊断报告的咨询交流，与您共建互助平台。,3060
107,住院医师,风湿免疫,广州,0,0,"21,430",0,3,2,0,0,,3070
108,主任医师 副教授,泌尿外科,南京,1,785,"103,148",7,90,16,3,4,欢迎交流，为您服务                        精诚工作，解决“尿路”问题,3099
109,主治医师 讲师,皮肤科,重庆,1,10,"11,791",0,4,1,0,0,,3188
110,副主任医师,口腔修复科,北京,1,0,"119,254",9,38,14,3,0,,3202
111,主治医师,康复治疗中心,孝感,0,0,"14,925",0,0,2,0,0,,3232
112,主任医师 教授,眼科,成都,1,2730,"154,457",0,285,9,0,5,,3299
113,主任医师 副教授,烧伤科,齐齐哈尔,1,0,"23,355",0,3,4,0,1,,3353
114,主任医师,消化内科,新乡,1,0,"7,721",0,1,1,0,0,,3395
115,主治医师,急诊危重症中心,北京,0,0,"1,115",0,0,0,0,0,,3407
116,副主任医师,内科,凉山,1,185,"6,581",0,0,0,0,0,,3418
117,副主任医师,康复科,上海,1,0,469,0,0,0,0,0,,3449
118,主治医师,皮肤科,北京,0,220,"17,786",0,53,12,0,0,,3470
119,主任医师 教授,介入科,珠海,1,0,"1,166",0,0,0,0,0,,3472
120,住院医师,妇产科,安阳,0,1600,"23,632",0,226,0,0,1,欢迎预约                        多一份耐心，多一份静心,3484
121,副主任医师,眼科,武汉,1,5,"1,847",0,1,0,0,0,,3484
122,副主任医师 副教授,皮肤科,广州,1,0,327,0,0,6,0,0,,3490
123,副主任医师,肾内科,北京,1,220,"11,612",0,4,0,0,1,,3502
124,副主任医师 副教授,心胸外科,新乡,0,1346,"99,111",29,97,1,0,2,新乡市中心医院（省三院）2014年先天性心脏病免费救助...                        根据河南省农村合作医疗的最新政策，凡是14岁以下的先天性心脏病患儿，包括房间隔缺损、室间隔缺损、动脉导管未闭、肺动脉瓣狭窄，均可以在新乡市中心医院心胸外科得到免费救助，住院一切费用全免，这是河南省先天性心脏病患儿的福音！,3514
125,副主任医师,儿科,上海,1,0,"24,283",1,1,3,0,0,,3548
126,副主任医师 副教授,血管外科,上海,1,3880,"278,608",5,536,13,5,8,愿天下好人皆健康快乐。                        欢迎关心本网站、尊重医学的人士提出有关血管疾病诊治与预防的咨询。（声明：恕网上不能予以具体诊疗答复，并谢绝与医疗无关的咨询）,3567
127,副主任医师 副教授,骨科,太原,1,205,"9,449",0,1,1,0,1,,3577
128,主治医师 讲师,心理咨询科,沈阳,1,1128,"89,429",9,90,0,0,0,祝大家身心健康                        让你的感觉，妙不可言,3602
129,住院医师,肝胆外科、肝胆内镜外科,济南,1,0,"2,212",0,0,0,0,0,,3617
130,主任医师 教授,介入放射诊断治疗中心,北京,1,0,"26,382",0,0,6,0,0,,3633
131,副主任医师,普外科,郑州,1,0,677,0,0,1,0,0,,3670
132,副主任医师,呼吸内科,北京,1,0,"17,124",0,0,2,0,0,,3797
133,主任医师,妇科,大连,1,0,"8,577",0,0,0,0,0,,3830
134,副主任医师 副教授,器官移植科,广州,1,0,"17,293",0,1,1,1,0,,3857
135,副主任医师,ICU,鄂尔多斯,0,200,"8,289",0,0,0,0,0,,3863
136,主任医师,放射科,包头,1,175,"21,875",2,6,1,0,1,精医厚德                        用我的技能帮您解除忧患。,3906
137,副主任医师,脊柱外科,郑州,1,0,"9,444",0,0,0,0,1,,3930
138,主任医师 教授,消化内科,南宁,1,210,"24,977",2,1,1,0,0,,3946
139,主治医师,肛肠外科,保定,0,30,"4,985",0,4,0,0,0,,3965
140,副主任医师,介入科,秦皇岛,0,0,"2,198",0,0,1,0,0,,4080
141,主治医师,眼科,兰州,0,290,"26,914",3,17,1,0,0,,4149
142,主治医师,心血管内科,郑州,0,1810,"83,366",1,74,0,0,8,大医精诚                        凡大医治病，必当安神定志，无欲无求，先发大慈恻隐之心，誓愿普救含灵之苦。若有疾厄来求救者，不得问其贵贱贫富，长幼妍蚩，怨亲善友，华夷愚智，普同一等，皆如至亲之想。亦不得瞻前顾后，自虑吉凶，护惜身命，见彼苦恼，若己有之，深心凄怆，勿避险巇，昼...夜寒暑，饥渴疲劳，一心赴救，无作功夫形迹之心。如此可为苍生大医。反此则是含灵巨贼。                                        展开 >>                 收,4179
143,副主任医师,呼吸内科,深圳,1,0,"4,527",0,0,2,0,0,,4200
144,主任医师 教授,骨科,盐城,1,250,"14,823",0,5,0,0,0,,4239
145,主任医师,ICU科,淮北,1,200,"9,929",0,0,1,0,0,,4288
146,副主任医师,放射科,佛山,1,410,"37,253",4,10,0,0,1,全心全意为人民服务                        一切以病人为中心，全心全意为人民服务,4341
147,副主任医师,肝胆胰外科,昆明,1,200,"7,461",0,0,2,0,0,,4378
148,主任医师 教授,肛肠科,郑州,1,759,"95,142",9,49,7,1,2,欢迎您！浏览我的网站！                        席作武教授个人网站开通了！欢迎交流，欢迎就诊！欢迎咨询！,4387
149,主治医师,耳鼻喉科,赣州,1,210,"10,121",0,1,1,0,0,尽我的最大努力，为每个耳鼻喉科患者解除病痛                        我是一个医生，我会尽我最大的努力去帮助每个耳鼻喉科患者。大家的关注是我的荣幸，我也会尽最大的努力不让大家失望，也会让更多的人关注我。,4419
150,住院医师,内镜中心,杭州,0,0,"1,418",0,0,0,0,0,,4496
151,主任医师 教授,小儿外科,西安,1,0,"12,687",1,1,13,3,1,,4646
152,主治医师,胸心外科,大庆,1,0,"1,815",0,0,0,0,0,,4648
153,副主任医师,小儿心脏外科,北京,1,3180,"125,151",3,213,10,7,56,治病救人，医者仁心                        阜外心血管病医院是我国最大的心血管病诊治中心，外科年手术例数超过1万例。作为国家心脏中心，在中国心血管疾病的预防、治疗、科研和教学工作中发挥核心作用。    我院小儿外科中心是国内最大的先心病外科中心，年手术量3000例左右。各种先心病手...术成功率高。    希望在网上平台为更多患儿提供帮助！                                        展开 >>                 收起 <<,4665
154,副主任医师,内科,怀化,1,0,"14,085",1,1,1,0,0,,4721
155,主任医师,神经内科,西安,1,1659,"103,694",3,116,0,0,6,祝您早日康复！                        希望每位患者都能健康开心地生活！,4742
156,主治医师,风湿免疫科,新乡,0,0,"2,828",0,0,1,0,0,,4747
157,主治医师,心外科,福州,0,0,783,0,1,1,0,0,,4748
158,住院医师,针灸理疗科,德州,1,200,"4,971",0,0,0,0,0,,4758
159,主治医师 副研究员,肿瘤科,长沙,1,235,"18,765",0,7,0,0,0,,4804
160,副主任医师 副教授,肾病科,上海,0,14820,"796,910",22,1167,27,15,17,欢迎词                        凡大医治病，必当安神定志，无欲无求，先发大慈恻隐之心，誓愿普救含灵之苦。,4913
161,副主任医师,普外科,太原,1,0,258,0,0,0,0,0,,4918
162,主任医师 副教授,神经内科,济南,1,0,"7,608",0,0,4,0,0,,4928
163,主治医师,内分泌风湿科,西安,0,15,"2,431",0,3,0,0,0,,4940
164,副主任医师 副教授,心理咨询科,安康,1,5,"1,404",0,1,0,0,0,,4969
165,住院医师 讲师,甲状腺颈部肿瘤科,天津,1,0,"1,161",1,0,0,0,0,,4976
166,副主任医师 副教授,肝胆腔镜外科,武汉,1,0,"15,687",0,0,8,0,0,,5000
167,副主任医师,普外科,哈尔滨,1,0,"14,759",0,0,0,0,0,,5029
168,主任药师 教授,药剂科,中山,1,275,"12,948",1,12,0,1,0,欢迎光临邱雄泉教授个人网站                        合理用药的原则是“安全、有效、经济”；热诚为大家在用药过程中的碰到的问题，提供力所能及的帮助。,5043
169,主治医师,神经外科,北京,0,10,"27,733",0,10,4,0,0,,5045
170,主治医师,胃肠外科,武汉,1,5,799,0,1,0,0,0,生命不息，妙手仁心                        各位患者朋友，欢迎访问我的个人主页，我将尽我所能为各位提供胃肠肿瘤、腹股沟疝等相关疾病的防治知识，让我们携手努力，共同战胜病魔！,5091
171,主任医师,泌尿外科,盐城,1,0,"6,240",0,0,1,1,0,,5149
172,住院医师,眼科,石家庄,1,185,"9,645",0,1,0,0,1,,5194
173,主任医师 教授,肾病内科,洛阳,1,220,"268,391",145,33,1,1,0,健康是一切幸福的根本                        一切医疗为了您的健康,5198
174,主任医师 教授,肾病科,济宁,1,890,"101,839",4,64,3,0,1,欢迎词                        博爱无疆   厚德载医,5256
175,主治医师,肿瘤科,长沙,1,230,"5,496",8,4,0,0,0,医师誓言                        本人热爱医学，视病人为亲人，以最真诚的服务态度、最合理的治疗方案，最细致的工作作风，得到患者最大肯定的“四最”宗旨服务于病友，！,5327
176,副主任医师,骨科,北京,1,210,"12,219",0,1,3,1,0,,5372
177,副主任医师,心血管内科,秦皇岛,0,0,990,0,0,0,0,0,,5396
178,主任医师 教授,血管外科,广州,1,2680,"295,101",16,261,10,2,7,,5423
179,主任医师 教授,骨伤科,南昌,1,40,625,0,4,1,0,0,,5446
180,副主任医师 副教授,肿瘤内科,衡阳,1,210,"41,001",0,6,3,0,1,,5449
181,主任医师 教授,胃肠外科,济南,1,295,"24,889",6,18,15,7,0,工作就是责任                        工作就是责任！尊敬的患者朋友，尊敬的同仁，我将以最大的热情为你服务，欢迎你进入我的网页！,5504
182,副主任医师 副教授,肛肠、静脉曲张科,黄冈,1,40,"1,807",6,5,0,0,0,黄冈市肛肠诊疗中心(黄冈市中医医院）冯彬大夫欢迎您！...                        各位朋友好！欢迎您来到彬彬的个人网站！并深深的感谢您对我信任和支持！您的健康就是我最大的追求！,5512
183,主任医师 教授,普通外科,深圳,1,0,"2,126",0,0,4,0,0,,5591
184,副主任医师,口腔科,包头,1,0,"1,836",0,0,2,0,0,,5612
185,主任医师 教授,皮肤科,石家庄,1,4322,"335,151",10,447,22,5,3,欢迎浏览我的网站                        希望我能对你的健康有所帮助,5615
186,主治医师 讲师,妇瘤科,合肥,0,0,"1,638",0,0,0,0,0,,5640
187,副主任医师 副教授,肿瘤妇科,西宁,1,200,"6,507",0,0,2,0,0,,5649
188,主治医师,肿瘤中心,武汉,0,0,"1,197",0,0,1,0,0,,5703
189,副主任医师,肛肠科,西安,1,205,"12,117",0,4,13,2,0,,5736
190,主治医师 讲师,CT室,潍坊,1,55,"6,742",0,6,0,0,1,欢迎词                        很高兴开通我的个人网页，增加一个和大家交流的机会。希望在工作之余，在我的专业范围内为大家服务。并提供本地患者的就诊预约服务及咨询服务。,5771
191,主任医师 教授,神经外科,太原,1,264,"32,476",7,7,3,0,0,为患者解除病痛是医生的使命                        欢迎登陆我的个人网站！本人从事神经外科工作近三十年，对神经外科的疑难病症有丰富的临床经验。如有问题请留言，我将尽快答复。,5780
192,主任医师 教授,微创外科,南宁,1,0,"10,322",0,0,3,0,1,,5781
193,主任医师 教授,神经外科,银川,1,0,918,0,0,5,1,0,,5860
194,副主任医师,肝病中心,北京,0,0,"7,688",0,0,1,0,0,,5924
195,主治医师,口腔修复科,北京,1,0,"11,165",0,1,4,0,0,,5931
196,住院医师 助教,肛肠科,茂名,0,0,189,0,0,0,0,0,热心为你健康服务                        将心比心，互相理解。你的疑惑？尽我所能。,5934
197,主任医师 教授,急症科,济南,1,0,"8,158",0,0,0,0,0,,5959
198,主任医师 副教授,超声诊断科,兰州,1,200,"15,176",0,0,1,0,1,,6002
199,主任医师 教授,泌尿外科,杭州,1,17587,"659,090",0,1131,27,13,71,,6013
200,主任医师,耳鼻咽喉头颈外科,天津,1,0,"20,237",0,3,2,0,1,,6025
201,主治医师,器官移植中心,成都,1,6320,"282,840",3,336,1,1,30,医者仁心！                        医者仁心，用不辞辛劳的汗水去捍卫生命的尊严！,6033
202,住院医师,眼科,菏泽,0,30,815,0,4,0,0,0,,6089
203,副主任医师 副教授,结直肠外科,哈尔滨,1,4176,"109,897",2,184,12,1,16,我们还在努力。                        好久没来了。不好意思。今后努力！,6103
204,副主任医师,外科,晋中,0,200,"7,415",0,0,1,0,0,,6112
205,主治医师 讲师,口腔科,北京,1,2197,"354,624",17,273,24,5,3,欢迎访问口腔专业人士主页                        希望您的口腔烦恼能在这里得到满意地解决！这是我们由衷的愿望和努力的目标！！！,6137
206,副主任医师 副教授,骨科,苏州,1,5,"2,781",0,1,1,0,0,,6165
207,副主任医师,骨科,福州,1,295,"26,578",15,15,1,1,1,珍爱健康！尊重生命1                        立足目前骨科技术发展水平，为患者提供最科学、最有效与最经济的治疗方案！,6175
208,主治医师 讲师,神经外科,北京,1,3190,"91,581",0,168,1,1,10,,6214
209,副主任医师,妇科,西安,1,5,"9,211",0,3,9,2,1,,6261
210,主治医师,肛肠外科,沈阳,1,2465,"196,211",17,162,3,1,3,沈阳市肛肠医院便秘治疗中心（盆底康复中心）祝您早日...                        沈阳市肛肠医院便秘治疗中心与盆底康复中心成立于2009年10月（东北首家），拥有全面的专科诊疗设备，可详细确诊便秘的原因、便秘的分型，主要包括加拿大Laborie肛管直肠测压系统、Thought-Technology盆底表面肌电图检测与生物...反馈治疗系统、360°直肠腔内超声、结肠途径治疗机，可完成系统、全面的便秘相关辅助检查，如结肠传输试验、钡灌肠与排粪造影、电子纤维结肠镜检查、肛门直肠动力及感觉,6327
211,副主任医师 副教授,耳鼻咽喉科,太原,1,0,"2,402",0,1,1,0,0,,6343
212,主治医师,肾病内科,成都,1,0,618,0,0,1,0,0,,6362
213,住院医师,康复中心,重庆,1,0,"30,429",1,1,3,1,0,,6363
214,住院医师,预防保健科,北京,1,615,"13,904",13,83,4,2,0,红星妇幼保健站职能                        红星妇幼保健站辖区：北京市大兴区旧宫镇：德茂庄、德茂佳苑小区、上林苑小区、德茂平房、西毓顺、德茂小区。每周一上午周五下午为辖区内孕妇建《北京市母子健康档案》；为辖区内待孕妇女免费发放叶酸片。每周三上午、周四全天为辖区内0-6岁儿童体检。每月...有一个周六开班妈妈学习班，向大家宣传专业的育儿知识。妈妈学习班为开放式，免费参加。举办时间在新浪微博发布。大兴红星妇幼的微博_微博http://weibo.com/daxinghongxingfuy,6431
215,副主任医师,骨伤科,梅州,0,0,"1,621",0,0,0,0,0,,6477
216,住院医师 讲师,肿瘤内科,广州,0,205,"10,487",1,1,0,0,0,欢迎词                        良心比技术更重要,6501
217,主任医师 教授,普外科,株洲,1,8950,"670,730",12,1146,5,3,4,健康是金                        健康是金，有健康才有将来。株洲市中心医院普外科主任医师 伍溢文教授，祝您身体健康。,6507
